"symbol","track","segment","mysymbol","strikestep","exchange"
ACC,true,EQ,ACC,0.0,NSE
ADANIENT,true,EQ,ADANIENT,0.0,NSE
ADANIGREEN,true,EQ,ADANIGREEN,0.0,NSE
ADANIPORTS,true,EQ,ADANIPORTS,0.0,NSE
AMBUJACEM,true,EQ,AMBUJACEM,0.0,NSE
APOLLOHOSP,true,EQ,APOLLOHOSP,0.0,NSE
ASIANPAINT,true,EQ,ASIANPAINT,0.0,NSE
AUROPHARMA,true,EQ,AUROPHARMA,0.0,NSE
DMART,true,EQ,DMART,0.0,NSE
AXISBANK,true,EQ,AXISBANK,0.0,NSE
BAJAJ-AUTO,true,EQ,BAJAJ-AUTO,0.0,NSE
BAJFINANCE,true,EQ,BAJFINANCE,0.0,NSE
BAJAJFINSV,true,EQ,BAJAJFINSV,0.0,NSE
BAJAJHLDNG,true,EQ,BAJAJHLDNG,0.0,NSE
BANDHANBNK,true,EQ,BANDHANBNK,0.0,NSE
BANKBARODA,true,EQ,BANKBARODA,0.0,NSE
BERGEPAINT,true,EQ,BERGEPAINT,0.0,NSE
BPCL,true,EQ,BPCL,0.0,NSE
BHARTIARTL,true,EQ,BHARTIARTL,0.0,NSE
BIOCON,true,EQ,BIOCON,0.0,NSE
BOSCHLTD,true,EQ,BOSCHLTD,0.0,NSE
BRITANNIA,true,EQ,BRITANNIA,0.0,NSE
CHOLAFIN,true,EQ,CHOLAFIN,0.0,NSE
CIPLA,true,EQ,CIPLA,0.0,NSE
COALINDIA,true,EQ,COALINDIA,0.0,NSE
COLPAL,true,EQ,COLPAL,0.0,NSE
DLF,true,EQ,DLF,0.0,NSE
DABUR,true,EQ,DABUR,0.0,NSE
DIVISLAB,true,EQ,DIVISLAB,0.0,NSE
DRREDDY,true,EQ,DRREDDY,0.0,NSE
EICHERMOT,true,EQ,EICHERMOT,0.0,NSE
GAIL,true,EQ,GAIL,0.0,NSE
GLAND,true,EQ,GLAND,0.0,NSE
GODREJCP,true,EQ,GODREJCP,0.0,NSE
GRASIM,true,EQ,GRASIM,0.0,NSE
HCLTECH,true,EQ,HCLTECH,0.0,NSE
HDFCAMC,true,EQ,HDFCAMC,0.0,NSE
HDFCBANK,true,EQ,HDFCBANK,0.0,NSE
HDFCLIFE,true,EQ,HDFCLIFE,0.0,NSE
HAVELLS,true,EQ,HAVELLS,0.0,NSE
HEROMOTOCO,true,EQ,HEROMOTOCO,0.0,NSE
HINDALCO,true,EQ,HINDALCO,0.0,NSE
HINDPETRO,true,EQ,HINDPETRO,0.0,NSE
HINDUNILVR,true,EQ,HINDUNILVR,0.0,NSE
HDFC,true,EQ,HDFC,0.0,NSE
ICICIBANK,true,EQ,ICICIBANK,0.0,NSE
ICICIGI,true,EQ,ICICIGI,0.0,NSE
ICICIPRULI,true,EQ,ICICIPRULI,0.0,NSE
ITC,true,EQ,ITC,0.0,NSE
IOC,true,EQ,IOC,0.0,NSE
IGL,true,EQ,IGL,0.0,NSE
INDUSTOWER,true,EQ,INDUSTOWER,0.0,NSE
INDUSINDBK,true,EQ,INDUSINDBK,0.0,NSE
NAUKRI,true,EQ,NAUKRI,0.0,NSE
INFY,true,EQ,INFY,0.0,NSE
INDIGO,true,EQ,INDIGO,0.0,NSE
JSWSTEEL,true,EQ,JSWSTEEL,0.0,NSE
JINDALSTEL,true,EQ,JINDALSTEL,0.0,NSE
